Text,Created,Likes,Sentiment
$COTY been buying at close past two weeks. Very obvious undervalued share price. Extremely,2021-01-16T15:26:30Z,1979,{'basic': 'Bullish'}
SweepCast observed: $COTY Coty Option Alert: Fri $5 Calls Sweep 🐻 | Try https://sweepcast.com today! 😎 | #stocks #stockmarket #options #daytrading,2021-01-16T04:34:08Z,85,
$COTY this shit weak. SELL SELL SELL!,2021-01-16T03:01:33Z,133,
$COTY Dead money for past few months,2021-01-16T01:42:01Z,7,
"$COTY Women always want to look good,  trust me on that!",2021-01-16T01:23:13Z,892,{'basic': 'Bullish'}
"$COTY [15s. delayed] filed SEC form 3: Director ARAMBURUZABALA MARIA ASUNICION: 
 https://s.flashalert.me/9Ez9i",2021-01-16T00:32:55Z,4,
"$COTY 📜 SEC Form 3 filed by Asunicion Maria Aramburuzabala

🐃Bullish or 🐻Bearish? Read and Vote!
https://quantisnow.com/insight/289816

#packagegoodscosmetics #consumernondurables",2021-01-16T00:32:34Z,84,
"$COTY Form 3 (initial statement of beneficial ownership of securities) filed with the SEC 

https://newsfilter.io/a/b5ca821155beedf4f558f575e2ad56e8",2021-01-16T00:32:33Z,531,
Your daily News digest for Coty Inc $COTY https://wsfriend.com/daily/news/COTY/2021-01-15/,2021-01-15T21:31:26Z,94,
$COTY come on coty go green,2021-01-15T18:55:33Z,56,{'basic': 'Bullish'}
"$COTY 

MACD crossover on watch. Breakout imminent",2021-01-15T16:48:47Z,1980,{'basic': 'Bullish'}
"$COTY This one is so extremely undervalued compared to its peers. Almost all stocks retrieved from 52 wk high and even double/triple but COTY. Just one more decent earning will gain at least 40%  in a few days.  Again, I still see a huge potential grow here. Hope the new $6+ billionaire director will take a stake in COTY soon.",2021-01-15T16:34:38Z,593,{'basic': 'Bullish'}
$COTY this POS is down big time ( even more than general market). It’s the sell off predicting bad ER. The Kartrashians raped the company and it’s becoming more apparent. Harf destroyed the company,2021-01-15T16:25:15Z,2018,
$COTY COTY IS SHIT TODAY,2021-01-15T15:50:52Z,2018,
"$XPEV $FUBO $COTY $PEIX 

Black Friday Sale!! Took my $PLTR profits to these four 😊",2021-01-15T15:49:34Z,1980,{'basic': 'Bullish'}
$COTY the consensus is that ER will be BAD . FUCK. Bad decisions come home to roost,2021-01-15T15:35:41Z,2018,
$COTY holding well in a red market,2021-01-15T15:28:59Z,70,
$COTY damnit this stock is trash,2021-01-15T15:25:19Z,311,
$COTY and GD THE KARTRASHIAN WHORES,2021-01-15T15:13:06Z,2018,
$COTY ER will be ugly. GD HARF,2021-01-15T15:12:30Z,2018,
$COTY hold support at $7 plz n then we take off next week,2021-01-15T15:01:02Z,1335,{'basic': 'Bullish'}
$COTY Do you think earnings will be good and the share price has the potential to reach $9-10 range before/after earnings?,2021-01-15T14:48:47Z,204,
$COTY https://www.coty.com/brands check out the brands,2021-01-15T14:30:58Z,594,
"$COTY if you really look at the entire catalog between COTY LUXURY and COTY CONSUMER, you will be shocked this is as cheap as it is- regardless of Kim K deal.",2021-01-15T14:28:30Z,607,{'basic': 'Bullish'}
$COTY all 6 of my other stocks are either unchanged or actually up big in PM except ( what I am once again calling) this POS. The Market is beginning to price in a bad ER in February. The whole Kartrashian deals will finally be exposed as colossal mistake at shareholders expense. And Harf  walks away totally unacceptable,2021-01-15T13:53:01Z,2016,
$COTY beautiful setup here. Been pretty laggy but this is due for its breakout. I&#39;d say early next week.,2021-01-15T12:29:46Z,470,{'basic': 'Bullish'}
$COTY Any stock similar to this? Thank you 🚀,2021-01-15T11:24:05Z,1,
$COTY will sell ASAP at $11,2021-01-15T11:11:59Z,1551,
"$COTY made a monster move from the $3s and is holding gains we, channeling sideways.  Play the channel, or wait for up/down break.  On watch",2021-01-15T10:48:38Z,2193,{'basic': 'Bullish'}
$COTY Bull Flag Forming,2021-01-15T09:56:58Z,7,{'basic': 'Bullish'}
"Compared to an average industry price book ratio of 3.45, $COTY is valued rather cheaply. https://www.chartmill.com/stock/quote/COTY/fundamental-analysis?key=9b51b932-5770-4562-9d1f-79c43b85d607&amp;utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=COTY&amp;utm_campaign=social_tracking",2021-01-14T04:59:07Z,32,
"$COTY is one of the better performing stocks in the Soap, Detergents, And Cleaning Preparations; Perfumes, Cosmeti ... https://www.chartmill.com/stock/analyzer/stock/COTY?key=9b51b932-5770-4562-9d1f-79c43b85d607&amp;utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=COTY&amp;utm_campaign=social_tracking",2021-01-14T02:58:00Z,32,
A.I.dvisor is predicting $COTY is about to move higher. View odds of uptrend. https://srnk.us/go/2458520,2021-01-14T02:43:00Z,0,{'basic': 'Bullish'}
"$COTY this is the gold mine of 2021, should double at the least by the end of this year. Coty may have just found a savior in KKR.",2021-01-14T00:55:04Z,1605,
"$COTY is one of the better performing stocks in the Soap, Detergents, And Cleaning Preparations; Perfumes, Cosmeti ... https://www.chartmill.com/stock/quote/COTY/technical-analysis?key=9b51b932-5770-4562-9d1f-79c43b85d607&amp;utm_source=stocktwits&amp;utm_medium=TA&amp;utm_content=COTY&amp;utm_campaign=social_tracking",2021-01-14T00:55:01Z,32,
"$COTY Should we be worring about stock price manipulation driving up price because Coty is preparing for bad earnings call, or am I just noiding out?",2021-01-14T00:50:59Z,85,{'basic': 'Bullish'}
$COTY 200mil for 20% stake in KKW this is gonna fly long term 🤔,2021-01-14T00:35:51Z,12,{'basic': 'Bullish'}
"$COTY I&#39;ve been in for a while and holding long although i do intend to scalp as hoping this is a slow and steady stock with a few ER spikes, but can any of you knowledgeable investors tell me when is the std kinda timeframe is for a run up into ER when the potential is impressive on a under valued stock as still newish and trying to work out the norms?",2021-01-14T00:13:52Z,148,
"Large Print $COTY Size: 184452 Price: 7.15 Time: 1750 Amount: $1,318,831.80",2021-01-13T22:50:59Z,114,
"Compared to an average industry price book ratio of 3.45, $COTY is valued rather cheaply. https://www.chartmill.com/stock/analyzer/stock/COTY?view=fundamental-analysis&amp;key=9b51b932-5770-4562-9d1f-79c43b85d607&amp;utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=COTY&amp;utm_campaign=social_tracking",2021-01-13T22:46:00Z,32,
Your daily News digest for Coty Inc $COTY https://wsfriend.com/daily/news/COTY/2021-01-13/,2021-01-13T21:33:31Z,94,
$COTY well donald trump got impeached again. might see volume return tomorrow.,2021-01-13T21:24:34Z,23,{'basic': 'Bullish'}
"$LFVN alright I&#39;m ready to spill the beans on my research and why I&#39;m absolutely confident in investing in LifeVantage right now. $COTY $PG $TANH $CL  So check this out: absolute over reaction to CEO leaving back in September &#39;20. Been downhill since then, but the drop seems to be tapering off. We may actually finally, hopefully, be at the bottom of the trough.",2021-01-13T21:09:59Z,11388,{'basic': 'Bullish'}
"Large Print $COTY Size: 254475 Price: 7.15 Time: 1600 Amount: $1,819,496.25",2021-01-13T21:00:04Z,114,
$COTY I’m still long with this French bitch ..$10+ then will sell happily take u home with me,2021-01-13T20:27:32Z,3763,{'basic': 'Bullish'}
$COTY this feels like lunch break not power hour...,2021-01-13T20:25:42Z,23,
$COTY datz wierd $SPY,2021-01-13T20:04:34Z,8913,
$COTY how was there just so much volume early then the big drop and then nothing? Wild,2021-01-13T19:47:01Z,737,
$COTY daaaaaaaaaaaaaaaaady,2021-01-13T19:16:50Z,8913,
$COTY Looking very bullish,2021-01-13T18:53:49Z,81,{'basic': 'Bullish'}
