Text,Created,Likes,Sentiment
"Hydrogen is at a &#39;tipping point&#39; with $11 trillion market set to explode, says Bank of America... in case you missed it from last year https://cnb.cx/36boi3W 

$FCEL $PLUG $BE $AMCI",2021-01-16T17:49:22Z,1866,{'basic': 'Bullish'}
$PLUG A key risk here is the deals with Walmart and Amazon is that they are offering incentives so PLUG are offering stock or warrants at low prices to get orders from Amazon. They were issuing warrants at less than $2.50 a share so Amazon can exercise this at any time and take a million dollar order given then current share price. You can look at note 12 beyond for financial statement note.,2021-01-16T17:45:45Z,688,
$PLUG back in,2021-01-16T17:39:25Z,3179,
"@AllEggsInEnergous learn how to DD . I will block you for not having common sense $JNSH  and $EVUS like peanut butter and jelly. You listening $PLUG , $TSLA  and $NIO ? $EVUS is coming after you. Little engine that could. Triple 0&#39;s average💪😎",2021-01-16T17:36:47Z,817,
$GM $TSLA $NIO $PLUG $SPY  we posted this alert on Instagram for all followers :) https://www.instagram.com/sellthedips,2021-01-16T17:35:13Z,0,{'basic': 'Bullish'}
$PLUG Power Marty Whitman...,2021-01-16T17:27:17Z,27407,
"$PLUG Diesel engine maker Cummins $CMI hosted a hydrogen technology event. Daimler Royal Dutch Shell $RDS.A , Volvo (VOLV.Sweden), and others formed a venture to accelerate adoption of hydrogen fueled trucks. Korea’s SK Holdings invested $1.5 billion into fuel-cell technology company Plug Power $PLUG this past week, sending its stock up 35%.  
https://www.marketwatch.com/articles/buy-ballard-stock-because-2021-could-be-big-for-hydrogen-technologies-51610449203?mod=moremw_bomw",2021-01-16T17:23:57Z,921,
"$PLUG Raymond James’ Glen believes Ballard $BLDP  could announce something next. Weichai Power (2338.Hong Kong), Ballard’s largest shareholder, is raising $2 billion in cash for hydrogen projects. “It is clear to us that fuel cells represent a core component of [Weichai’s] growth strategy over coming decades,” wrote Glen. “Investors do not fully appreciate Weichai Power’s position, market share, OEM relationships and overall scale in the largest market for commercial trucks [and] buses globally.” OEM is short for original equipment manufacture and, in this case, refers to companies making heavy-duty trucks and buses in China.  
https://www.marketwatch.com/articles/buy-ballard-stock-because-2021-could-be-big-for-hydrogen-technologies-51610449203?mod=moremw_bomw",2021-01-16T17:21:38Z,922,
$PLUG Power takeaway about nEVer EVer selling $plug Power!!!  Warren Buffett said to limit your stocks to 20 in your lifetime!!!???!!!  Partner Wisely!!!,2021-01-16T17:19:20Z,27407,
$FCEL using water as petrol was every kid silly question.. in the next 10-20 years.. all the dream will come true! $CLNE $PLUG,2021-01-16T17:16:06Z,4205,{'basic': 'Bullish'}
"$PLUG Power buy 100 Bagger for the Heat Map!!! 
 
Own it DON’T TRADE IT!!!",2021-01-16T17:13:53Z,27407,
$FCEL if this company can survived for 50 years without proper earnings.. what makes you think that they will fall now when this is going to be the big thing in 5-10 years? $CLNE $PLUG,2021-01-16T17:13:34Z,4347,{'basic': 'Bullish'}
$PLUG Power 10 Bagger EaaS(y)!!!,2021-01-16T17:12:21Z,27407,
$FCEL if you are able to hold fuel cell stocks.. it will def be better than Tesla profits.. $CLNE $PLUG,2021-01-16T17:11:57Z,4347,{'basic': 'Bullish'}
