,NLTK_Compound,Blob Score,GME
2020-01-14,0.0,0.6209097006556438,4.705
2020-01-15,-0.056366666666666634,0.6356576818199741,4.6
2020-01-24,-0.07543333333333334,0.6664471545066951,4.32
2020-02-06,0.0,0.916743023740108,4.14
2020-02-12,0.0,0.8634868421052634,4.19
2020-02-18,0.0,0.6661696703282358,4.06
2020-02-20,0.0,0.5,4.14
2020-02-27,-0.29600000000000004,0.6602435441980642,3.47
2020-03-09,0.4939,0.5936165196889389,3.71
2020-03-11,0.0,0.8642637296175035,4.14
2020-03-17,0.0,0.833333333333333,4.23
2020-03-18,0.01486666666666666,0.6482107162181149,3.78
2020-03-19,0.0,0.5808131639482261,4.19
2020-03-20,-0.0821,0.7449041937141997,3.755
2020-03-23,0.0,0.9796626981977292,3.81
2020-03-24,0.0,0.7244826712843199,4.195
2020-03-25,-0.05135,0.630767068693296,4.2
2020-03-26,-0.12247999999999999,0.6141869748050548,4.405
2020-03-27,0.0,0.5708333333333331,4.2101
2020-03-31,0.0,0.8032018232085489,3.525
2020-04-01,-0.1027,0.5580849685302305,3.25
2020-04-06,0.4497,0.8445901065919201,3.08
2020-04-13,0.0,0.6436362971447049,4.75
2020-04-14,-0.10198571428571428,0.6780501670263833,5.93
2020-04-17,0.0,0.6324064776422305,4.87
2020-04-21,0.0,0.7866575956459103,4.785
2020-04-23,0.0,0.5159749772415643,4.685
2020-04-27,0.0,0.6417844796314769,5.82
2020-04-28,0.53345,0.7347401785440626,5.62
2020-04-29,0.4404,0.5532318089874361,5.99
2020-04-30,0.4278,0.9360465116279064,5.73
2020-05-20,0.0,0.5,4.42
2020-05-27,0.0,0.6691703881546465,4.681
2020-06-02,0.0,0.5007836990595611,4.18
2020-06-04,0.8859999999999999,0.927412030981654,4.47
2020-06-10,0.0,0.6095612661828825,5.06
2020-06-17,0.0,0.5081959083721564,4.76
2020-06-18,0.0,0.5354166666666665,4.92
2020-07-01,0.4278,0.9044943820224731,4.44
2020-08-04,0.4374,0.6982430792664847,4.44
2020-08-12,0.0,0.537015953467694,4.53
2020-08-21,0.0,0.6927927611935558,5.04
2020-08-31,0.1426,0.7224927981832755,6.69
2020-09-01,0.2139,0.7182891425462052,7.66
2020-09-02,0.14386666666666667,0.5456387707465465,7.71
2020-09-03,0.1366,0.6308332181805227,7.81
2020-09-04,0.0,0.7846239539343699,7.64
2020-09-08,0.14800000000000002,0.7192067884590729,7.69
2020-09-09,-0.10845999999999999,0.7253758273333444,7.35
2020-09-10,-0.0772,0.8572442742648301,6.2282
2020-09-14,0.1953,0.64380229303922,6.91
2020-09-15,-0.2233,0.8026051134834052,7.08
2020-09-16,-0.01908333333333333,0.6744807369291393,8.674808
2020-09-17,0.0,0.5603455036230852,9.2
2020-09-18,-0.02054,0.5946177978777815,9.45
2020-09-21,0.2261,0.7554088778812436,8.75
2020-09-22,0.1426,0.7486555080513719,10.555
2020-09-23,-0.2553,0.7454088972017765,10.05
2020-09-24,0.25,0.7869430777744785,9.1352
2020-09-25,0.0,0.6403035012951067,10.02
2020-09-29,0.125,0.7375146153864723,10.35
2020-09-30,0.4278,0.9360465116279064,10.21
2020-10-01,0.0,0.6536664576288218,9.77
2020-10-02,-0.601,0.5901209607206714,9.39
2020-10-05,0.34,0.5124712058011095,9.45
2020-10-06,0.6908,0.5291418500155152,9.14
2020-10-07,-0.27115,0.5694109015932366,9.35
2020-10-08,0.042268181818181816,0.6545154999465884,13.505
2020-10-09,0.08889333333333332,0.7215916376970807,12.03
2020-10-12,0.01175555555555557,0.614606043939609,11.7903
2020-10-13,-0.16888,0.6396518223255618,11.87
2020-10-14,0.05458750000000001,0.7140258172330585,12.25
2020-10-15,0.06771250000000001,0.6729417049029938,13.82
2020-10-16,0.10379090909090907,0.7076837454577047,13.31
2020-10-19,-0.1909,0.6628049632176439,13.91
2020-10-20,0.0791,0.7557391068887324,13.86
2020-10-21,-0.11105,0.6942916125844936,14.095
2020-10-22,0.16727999999999998,0.6753799169702097,14.91
2020-10-23,-0.09925714285714284,0.629103171776068,15.03
2020-10-26,0.1995888888888889,0.6810302353372183,13.495
2020-10-27,0.014500000000000002,0.6715803739878053,12.7
2020-10-28,0.3881111111111111,0.7543097646163255,11.81
2020-10-29,0.04248181818181818,0.6789386423337046,11.73
2020-10-30,0.18216666666666667,0.6873587148535067,10.4679
2020-11-02,0.2084,0.5308136871032639,10.75
2020-11-03,0.093725,0.7440721199551379,11.56
2020-11-04,-0.2608,0.5167332856300704,10.9
2020-11-06,0.0,0.5129759018964781,11.87
2020-11-09,0.12705999999999998,0.6465914457225304,11.5
2020-11-10,0.09916666666666668,0.7776697355821015,11.11
2020-11-11,-0.02754,0.6856936509583156,11.76
2020-11-12,-0.22956000000000004,0.645018413357555,11.14
2020-11-13,0.0,0.5659221125609546,11.115
2020-11-16,-0.032240000000000005,0.5871136844129706,12.07
2020-11-17,0.13086666666666666,0.8040098612338257,11.64
2020-11-18,-0.14223333333333332,0.7546251078955276,11.58
2020-11-19,0.23252857142857145,0.7711479815558073,12.46
2020-11-20,0.1418666666666667,0.6946652016934339,12.71
2020-11-23,0.08536666666666666,0.6143594137869076,13.9
2020-11-24,0.014228571428571429,0.6320931483425635,13.68
2020-11-25,0.06603333333333332,0.6580903711072216,14.75
2020-11-27,0.10383333333333332,0.677950292039194,16.05
2020-11-30,0.05089354838709677,0.6567982620923066,16.5678
2020-12-01,0.006408333333333336,0.6587982782582746,15.81
2020-12-02,-0.05268333333333333,0.650416665498783,16.59
2020-12-03,0.016199999999999985,0.675982388439182,16.12
2020-12-04,0.03650833333333333,0.6247567724463131,16.91
2020-12-07,0.01920000000000001,0.6469141821452583,16.32
2020-12-08,0.032931999999999996,0.6985719377847409,16.92
2020-12-09,0.07805853658536585,0.6549835518585365,13.6576
2020-12-10,0.13590625,0.678583450546132,14.12
2020-12-11,0.028121428571428582,0.6911705061101985,13.31
