,NLTK_Compound,Blob Score,NIO
2020-01-03,0.0,0.5447004383944437,3.83
2020-01-06,-0.0593,0.7389459240867545,3.69
2020-01-14,0.5106,0.573220516829709,3.78
2020-01-15,0.14615999999999998,0.6869003028909575,4.29
2020-01-16,0.125,0.6775574583139465,4.37
2020-01-17,0.21982,0.6112989533975528,4.67
2020-01-21,0.0,0.6749915399485387,5.17
2020-01-22,-0.0051600000000000005,0.664657847837186,4.8
2020-01-23,0.36755,0.8295238017017784,4.88
2020-01-27,0.2202,0.7215944594367909,4.0059
2020-01-28,-0.08900000000000001,0.6549410862460204,4.2
2020-01-30,0.0,0.7295751825677209,4.08
2020-02-04,-0.1779,0.7369029424261684,4.51
2020-02-06,0.0,0.75,4.08
2020-02-07,0.0,0.5021820448877805,3.81
2020-02-12,0.29600000000000004,0.5889456741992547,4.07
2020-02-20,0.0,0.7566422157994861,4.26
2020-02-21,-0.3595,0.7252475247524751,4.08
2020-02-25,0.1911142857142857,0.6629426395118232,4.42
2020-02-27,0.4404,0.8622515273526673,4.14
2020-03-16,0.0,0.5892857142857141,2.95
2020-03-17,-0.1114,0.6316511547268604,2.9
2020-03-19,0.3182,0.6127373170518319,2.38
2020-04-01,0.0,0.5,2.64
2020-04-02,0.08333333333333333,0.6291316821989404,2.3849
2020-04-24,0.0,0.6940781459249704,2.945
2020-05-22,0.2732,0.5761230363444461,3.2596
2020-05-29,-0.7004,0.7717613651860571,3.9799
2020-06-09,0.0,0.5059846513694097,6.68
2020-06-18,0.0,0.8761626279969006,7.18
2020-06-22,0.0,0.5635506080114447,7.44
2020-06-24,0.2978,0.6734919371500795,6.85
2020-06-30,0.0,0.6499999999999997,7.72
2020-07-02,-0.1645,0.5662654150870723,9.38
2020-07-06,0.18994444444444444,0.6442547801274174,11.51
2020-07-07,0.04214285714285715,0.6538602997586002,13.23
2020-07-08,0.1688125,0.7316521270359493,12.88
2020-07-09,0.1839142857142857,0.5890114572443681,14.5602
2020-07-10,0.038757142857142865,0.6807333968825372,15.0
2020-07-13,0.16525555555555554,0.6656674628950405,13.84
2020-07-14,-0.05103333333333334,0.8139859199354279,14.09
2020-07-15,0.0,0.5842008193206247,13.52
2020-07-16,-0.07355,0.6975136269666191,12.95
2020-07-17,0.03233076923076924,0.6816194916873951,11.0875
2020-07-20,0.0,0.7468888822008689,12.82
2020-07-21,0.0,0.8161996007426645,12.88
2020-07-22,0.0,0.5558115021640123,12.38
2020-07-24,0.6996,0.7846579671845396,11.81
2020-07-30,0.0,0.6224489795918365,12.2
2020-07-31,-0.5267,0.5035282963917842,11.94
2020-08-03,0.0060000000000000045,0.5961087596724531,13.6
2020-08-04,0.22456666666666664,0.7199193229839486,13.64
2020-08-05,-0.10115,0.6163925997098025,13.92
2020-08-06,0.0,0.6047680342109167,13.84
2020-08-10,0.2192,0.5910893136790554,14.2
2020-08-11,-0.09292,0.6805013341812776,12.99
2020-08-12,-0.046249999999999986,0.5742708494956407,13.36
2020-08-17,0.25,0.7330454761204975,14.05
2020-08-18,0.0,0.55121927920869,14.3
2020-08-19,0.0,0.6776675109993587,14.06
2020-08-20,0.3509666666666667,0.5626238667712106,13.785
2020-08-21,-0.21335,0.6582890566835291,14.12
2020-08-24,0.0,0.7079070358369418,14.97
2020-08-25,0.045725,0.6510942730689816,17.86
2020-08-26,0.13261249999999994,0.7214311572716057,20.43
2020-08-27,0.0,0.6479612647230404,19.88
2020-08-31,0.35015,0.6520450642525817,19.04
2020-09-01,0.0,0.5227431122464563,20.12
2020-09-02,0.0,0.5326743084949481,19.93
2020-09-03,-0.1953,0.6161272132376229,18.7
2020-09-04,0.190775,0.5357558020188604,17.9699
2020-09-08,0.12833999999999998,0.5867045669488936,17.01
2020-09-09,0.20693333333333333,0.5142772821688175,18.09
2020-09-10,0.0,0.7055967449204069,17.74
2020-09-11,0.34,0.5127255523447763,17.965
2020-09-16,0.21286666666666668,0.6371846359720079,19.015
2020-09-17,0.0,0.6098901098901099,19.2901
2020-09-21,0.0,0.7231404958677686,18.8002
2020-09-23,0.0,0.5757467805444575,17.96
2020-09-25,0.0,0.9148807313940592,18.32
2020-09-28,0.3612,0.6385862161747997,18.805
2020-09-29,0.0,0.6247669995776044,20.85
2020-09-30,0.0,0.6696086176792497,21.2
2020-10-01,0.033925,0.8331740913202074,21.76
2020-10-02,0.22795,0.7397819369053973,21.2
2020-10-05,0.4404,0.5336387542185844,21.6
2020-10-07,0.0,0.5919305853817012,21.55
2020-10-09,0.0,0.6038376861815618,21.48
2020-10-12,0.142975,0.5524048190417894,21.85
2020-10-13,-0.2813,0.6135161749076552,21.61
2020-10-14,0.26034210526315793,0.6670110613896781,26.5
2020-10-15,-0.026989473684210518,0.5849145212998815,28.08
2020-10-16,-0.14701999999999998,0.556382080393494,28.4799
2020-10-19,-0.008400000000000019,0.7599284879818597,27.65
2020-10-20,-0.01322,0.7044714158250085,27.96
2020-10-21,-0.016850000000000004,0.6435907795279188,27.866
2020-10-22,-0.1702,0.6714390618523547,27.4016
2020-10-23,-0.09038333333333333,0.6082060830062056,27.16
2020-10-26,-0.1655,0.7666977759311969,26.01
2020-10-27,0.29295,0.6707924863272039,28.45
2020-10-28,-0.1531,0.7648509099857099,27.52
2020-10-29,0.16172000000000006,0.6964686836167486,32.0
2020-10-30,0.2767,0.6878672458532579,30.57
2020-11-02,0.14368888888888887,0.5901435056190087,33.32
2020-11-03,0.10882727272727273,0.6184390092088147,35.51
2020-11-04,0.12641875,0.6867862025134596,37.71
2020-11-05,0.34,0.7960521462793975,42.42
2020-11-06,0.10785,0.6764481684207889,41.64
2020-11-09,0.133215625,0.7059480507526565,44.06
2020-11-10,0.02842307692307692,0.6550089903464246,41.5489
2020-11-11,0.031745454545454535,0.6365679593113506,43.07
2020-11-12,0.053675609756097566,0.6536453107712169,48.3427
2020-11-13,0.04102451612903227,0.6681403691929089,43.7247
2020-11-16,0.025549019607843136,0.6424421275525708,45.5799
2020-11-17,-0.005317333333333335,0.6559163690902682,46.5599
2020-11-18,-0.007642307692307692,0.6633031638985725,45.1
2020-11-19,0.09053846153846154,0.642265969811789,48.47
2020-11-20,0.14696774193548387,0.6744077666034086,49.25
2020-11-23,0.016527450980392155,0.6605497274046244,55.51
2020-11-24,-0.011967307692307694,0.645669765738229,53.51
2020-11-25,0.09898125000000002,0.6744763064477043,53.69
2020-11-27,0.02856271186440678,0.6415262609910002,54.0
2020-11-30,-0.026256249999999984,0.7298313179496053,50.5456
2020-12-01,0.012872222222222224,0.6771034255467057,45.36
2020-12-02,0.06761212121212119,0.686603402571044,47.95
2020-12-03,-0.005133333333333333,0.7178419259681218,45.34
2020-12-04,0.21822857142857144,0.6444710960058104,43.03
2020-12-07,-0.0007999999999999785,0.7672520051745744,45.11
2020-12-08,0.07844999999999999,0.7086168860880665,46.56
2020-12-09,0.0,0.668742075110281,44.01
2020-12-10,0.10323333333333334,0.6268742006009552,45.22
2020-12-11,0.043306666666666674,0.6304289972899527,41.98
2020-12-14,0.05497142857142857,0.7819309023572548,41.0
2020-12-15,0.10831428571428572,0.7105615478898858,43.4901
2020-12-16,0.10238999999999998,0.6536769409545328,44.67
2020-12-17,0.2987,0.6495168250870604,46.025
2020-12-18,-0.0447875,0.7307133957154373,46.543
2020-12-21,0.12145,0.668048572021342,48.98
2020-12-22,0.18650000000000005,0.6780921825476552,47.6
2020-12-23,0.02713333333333333,0.6751512394349363,47.01
2020-12-24,0.13865999999999998,0.7523856085835574,45.77
2020-12-28,-0.7531,0.6867125400676068,44.055
2020-12-29,0.08077142857142859,0.7247044808110188,46.11
2020-12-30,0.068,0.6773547824911417,48.365
2020-12-31,0.06961666666666666,0.6420530224118267,48.74
2021-01-04,0.18208,0.6858394143689718,53.4816
2021-01-05,0.0471090909090909,0.6871213292224146,53.2
2021-01-06,-0.08497333333333333,0.6788086509128332,50.5234
2021-01-07,-0.03314285714285714,0.7033377728175595,54.25
2021-01-08,0.04738,0.6788666990023569,58.91
2021-01-11,0.1631,0.6943253349669517,62.725
2021-01-12,-0.05156315789473685,0.6275676684358972,61.94
2021-01-13,0.14761363636363636,0.6676136086869104,62.1301
2021-01-14,0.10214285714285716,0.7116452662203626,60.88
2021-01-15,0.17312,0.7099639510171443,56.27
2021-01-19,0.37212222222222224,0.6714483151211016,58.45
2021-01-20,0.11408,0.7306224059722339,57.71
2021-01-21,0.19871666666666665,0.6771601172996418,58.32
2021-01-22,0.3527888888888888,0.6806032053676432,61.95
