,NLTK_Compound,Blob Score,PLUG
2020-01-08,0.0,0.8140970427792131,4.0675
2020-01-14,0.2732,0.6056930127767107,4.035
2020-01-15,0.0,0.7762119503945882,4.19
2020-01-27,0.0,0.6117066634181975,3.8
2020-01-29,0.2263,0.922594142259414,4.03
2020-02-05,-0.5423,0.6374129985389227,4.13
2020-02-06,0.0,0.831071913161466,4.25
2020-02-18,0.021733333333333344,0.7661603489841257,4.84
2020-02-19,0.09564117647058824,0.7980770883293442,5.71
2020-02-20,0.06565,0.7473909647345063,5.51
2020-02-21,0.34,0.9135264911344936,5.5688
2020-02-25,0.8462,0.9990669658518052,4.82
2020-02-28,0.1531,0.75,4.32
2020-03-03,0.0,0.8238723049414793,4.5
2020-03-16,-0.4019,0.5668081407818724,2.7
2020-03-25,0.0,0.8018054496951222,3.82
2020-03-26,0.5106,0.7534675237074354,3.81
2020-04-13,0.4215,0.7831858407079642,4.115
2020-04-20,0.0,0.5395666762748643,4.42
2020-05-14,-0.2732,0.8758732491015918,4.05
2020-06-04,-0.3612,0.8711770848873629,4.9977
2020-06-10,0.7887,0.9454259372897901,5.655
2020-06-18,0.0,0.8761626279969006,5.39
2020-06-24,0.0,0.864967721304422,7.565
2020-06-25,0.2139,0.7412696141105878,7.33
2020-06-26,-0.2023,0.5823863636363638,6.83
2020-07-01,-0.33845,0.8136858190661937,8.8678
2020-07-02,0.0,0.6824122479462287,9.1
2020-07-06,0.0,0.75,9.975
2020-07-07,0.159175,0.7260970520920255,9.335
2020-07-08,0.0,0.5950161348153467,9.5
2020-07-09,0.0,0.75,8.95
2020-07-10,0.0,0.6171628795711084,9.29
2020-07-13,0.0,0.912428603196982,8.31
2020-07-14,0.0,0.8360545189739221,8.645
2020-07-15,0.0,0.8386013187359805,9.035
2020-07-16,-0.5267,0.8754192340815177,9.06
2020-08-03,0.4199,0.7045342001044772,9.14
2020-08-04,0.34,0.8634868421052634,9.13
2020-08-05,-0.4215,0.5051351987693704,9.33
2020-08-06,0.10606666666666666,0.8014607187977294,10.73
2020-08-07,0.0,0.9319130285208516,11.28
2020-08-10,0.0,0.75,12.04
2020-08-13,0.0,0.6219512195121949,11.37
2020-08-18,0.3380333333333333,0.578330325414468,12.7627
2020-08-19,0.0,0.7654856874706717,13.65
2020-08-20,0.2549666666666667,0.6687964101277072,13.665
2020-08-21,0.0,0.6532258064516129,12.91
2020-09-02,0.17,0.588002038403566,13.1399
2020-09-03,0.0,0.7308666805334678,11.55
2020-09-04,0.0,0.6958445892024863,11.75
2020-09-09,0.0,0.6829277734659448,12.13
2020-09-11,0.25,0.6800668743781064,11.71
2020-09-14,0.0,0.8976271584635258,12.23
2020-09-16,0.2023,0.8550424925760344,12.94
2020-09-18,0.0,0.7645212401313453,13.56
2020-09-23,0.4199,0.6546276431009139,12.0763
2020-09-24,0.0,0.817904947772209,11.2452
2020-09-28,0.0,0.9262201871677248,13.2
2020-10-01,0.3254,0.7349361280161768,14.0
2020-10-02,0.0,0.7984028616263691,14.135
2020-10-05,0.0,0.8264207983328066,15.73
2020-10-06,0.4199,0.7545395772430846,16.225
2020-10-07,0.0,0.75,18.225
2020-10-09,0.0,0.7501874531367158,18.43
2020-10-15,-0.5994,0.6148165224984837,17.03
2020-10-16,0.0,0.5006849315068492,16.275
2020-10-19,0.0,0.75,16.38
2020-10-20,0.0,0.7501874531367158,16.29
2020-10-21,0.1366,0.6760908099964252,14.87
2020-10-22,0.0,0.8254687821965796,14.97
2020-10-26,0.0258,0.9588440592069654,14.455
2020-10-29,0.0,0.6199145927082372,14.78
2020-10-30,0.0,0.8250000000000008,14.02
2020-11-03,-0.1406,0.6385639364643418,16.94
2020-11-04,0.0,0.6255915541313014,16.6
2020-11-09,0.0,0.9039695268644752,20.31
2020-11-11,0.0,0.8139810426540279,22.97
2020-11-12,0.3133222222222222,0.79684717853403,23.43
2020-11-13,0.0,0.6014410082487114,23.3
2020-11-16,-0.2342333333333333,0.8555660633234569,25.0
2020-11-17,0.0,0.9089077599107576,22.99
2020-11-18,-0.1531,0.8056661391211024,23.22
2020-11-19,0.6002666666666666,0.8393127005130704,23.79
2020-11-20,-0.30406666666666665,0.5778205681262086,24.37
2020-11-23,0.0625,0.7206461868806042,26.8888
2020-11-24,0.21015,0.7302844061168562,26.715
2020-11-25,0.3182,0.5791045901963593,26.15
2020-11-27,-0.28595,0.6735926769628513,26.24
2020-11-30,0.0,0.5930165445484928,26.34
2020-12-01,0.0,0.8225436071796912,24.44
2020-12-02,0.3429,0.5761985540153616,24.0688
2020-12-08,0.3825,0.8723358896694732,28.74
2020-12-11,0.1531,0.7129237281910762,26.7659
2020-12-14,-0.5719,0.806884282010213,25.7
2020-12-16,0.4404,0.5562661547406111,28.46
2020-12-17,0.0,0.9179238430888884,30.54
2020-12-18,-0.4588,0.9412630732669726,31.625
2020-12-22,0.0908,0.7973696247691381,35.67
2020-12-24,0.501925,0.6843336511939972,35.562
2020-12-28,0.0,0.5060606060606062,33.5689
2020-12-29,-0.26335,0.6505642807204914,32.45
2020-12-30,-0.1582,0.7510690069088197,34.21
2020-12-31,0.6249,0.7478846176534758,33.92
2021-01-04,0.0,0.7833033880903495,32.18
2021-01-05,0.64775,0.7633763108680742,32.55
2021-01-06,0.3899,0.8514952513544409,35.0
2021-01-07,0.17833749999999998,0.7598891062651345,47.3
2021-01-08,0.13870000000000002,0.7707690502552879,53.7788
2021-01-11,0.0,0.7080779256740556,53.97
2021-01-12,0.08677599999999998,0.7639943404923077,66.02
2021-01-13,0.13022,0.8137553562680242,69.495
2021-01-14,0.25269090909090913,0.8022171074258859,66.52
2021-01-15,0.07434,0.7749099327987813,60.14
2021-01-19,0.10046666666666666,0.8368601332603784,66.43
2021-01-20,-0.10614444444444444,0.7769738862523612,62.51
2021-01-21,0.07327499999999999,0.7112082180015359,63.67
2021-01-22,0.1294076923076923,0.740463396540386,66.8682
