date,GME,NIO,PLTR,PLUG,TSLA
2020-01-02 00:00:00-05:00,6.31,3.72,,3.25,430.24
2020-01-03 00:00:00-05:00,5.89,3.83,,3.225,442.75
2020-01-06 00:00:00-05:00,5.85,3.69,,3.815,451.4001
2020-01-07 00:00:00-05:00,5.52,3.25,,3.805,469.17
2020-01-08 00:00:00-05:00,5.715,3.385,,4.0675,492.09
2020-01-09 00:00:00-05:00,5.55,3.47,,4.045,481.49
2020-01-10 00:00:00-05:00,5.43,3.51,,4.14,477.96
2020-01-13 00:00:00-05:00,5.44,3.7,,4.09,524.85
2020-01-14 00:00:00-05:00,4.705,3.78,,4.035,538
2020-01-15 00:00:00-05:00,4.6,4.29,,4.19,518.505
2020-01-16 00:00:00-05:00,4.615,4.37,,4.19,513.49
2020-01-17 00:00:00-05:00,4.74,4.67,,4.1601,510.19
2020-01-21 00:00:00-05:00,4.595,5.17,,4.31,547.3007
2020-01-22 00:00:00-05:00,4.56,4.8,,4.045,569.43
2020-01-23 00:00:00-05:00,4.62,4.88,,3.92,571.9422
2020-01-24 00:00:00-05:00,4.32,4.64,,3.895,564.96
2020-01-27 00:00:00-05:00,4.275,4.0059,,3.8,557.54
2020-01-28 00:00:00-05:00,4.22,4.2,,4.0771,566.82
2020-01-29 00:00:00-05:00,4.13,4.26,,4.03,581
2020-01-30 00:00:00-05:00,3.94,4.08,,3.99,640.93
2020-01-31 00:00:00-05:00,3.85,3.775,,3.86,650.48
2020-02-03 00:00:00-05:00,3.96,4.05,,3.85,780.28
2020-02-04 00:00:00-05:00,4.08,4.51,,4.085,887.72
2020-02-05 00:00:00-05:00,4.19,4.39,,4.13,734.72
2020-02-06 00:00:00-05:00,4.14,4.08,,4.25,748.5
2020-02-07 00:00:00-05:00,3.81,3.81,,4.25,747.9808
2020-02-10 00:00:00-05:00,3.95,3.8665,,4.37,770.8467
2020-02-11 00:00:00-05:00,4.03,3.95,,4.39,774.02
2020-02-12 00:00:00-05:00,4.19,4.07,,4.47,767.44
2020-02-13 00:00:00-05:00,4.12,4.02,,4.45,803.86
2020-02-14 00:00:00-05:00,4.02,3.78,,4.4,799.9724
2020-02-18 00:00:00-05:00,4.06,3.8,,4.84,858.66
2020-02-19 00:00:00-05:00,4.15,4.085,,5.71,916.96
2020-02-20 00:00:00-05:00,4.14,4.26,,5.51,899.18
2020-02-21 00:00:00-05:00,4.04,4.08,,5.5688,901
2020-02-24 00:00:00-05:00,3.7,3.87,,5.181,833.16
2020-02-25 00:00:00-05:00,3.56,4.42,,4.82,799.11
