Text,Created,Likes,Sentiment
"Hydrogen is at a &#39;tipping point&#39; with $11 trillion market set to explode, says Bank of America... in case you missed it from last year https://cnb.cx/36boi3W 

$FCEL $PLUG $BE $AMCI",2021-01-16T17:49:22Z,1866,{'basic': 'Bullish'}
$FCEL Paul Coster=shorts=SHIT!!!!,2021-01-16T17:36:31Z,1110,{'basic': 'Bullish'}
$FCEL why analyst starts with anal? Now you know?,2021-01-16T17:24:34Z,4347,{'basic': 'Bullish'}
"$FCEL anal are just like fortune teller. if they are good they don’t share everything with you, if they aren’t good they act to be good!!  
 
fcel is a 200-400b market, if you dare go downgrade Tesla.. 😆",2021-01-16T17:23:51Z,4347,
$FCEL fuel cell will take over opec soon.. the era of rubbish analyst giving stupid advice is over.. if they are that good they wont still be an employee...,2021-01-16T17:18:53Z,4347,{'basic': 'Bullish'}
$FCEL the new marker lol,2021-01-16T17:16:20Z,991,
$FCEL using water as petrol was every kid silly question.. in the next 10-20 years.. all the dream will come true! $CLNE $PLUG,2021-01-16T17:16:06Z,4205,{'basic': 'Bullish'}
"$FCEL when they say sell, you buy. When they say buy, you sell.. this is stock market",2021-01-16T17:14:45Z,4347,{'basic': 'Bullish'}
$FCEL if this company can survived for 50 years without proper earnings.. what makes you think that they will fall now when this is going to be the big thing in 5-10 years? $CLNE $PLUG,2021-01-16T17:13:34Z,4347,{'basic': 'Bullish'}
$FCEL if you are able to hold fuel cell stocks.. it will def be better than Tesla profits.. $CLNE $PLUG,2021-01-16T17:11:57Z,4347,{'basic': 'Bullish'}
"$GMGI ready to UPLIST on NASDAQ?
*WATCHLIST 🚨 “ LOW FLOAT ✅

UNDER $7.00 a share! 

I think it’s super close, as the price is under seven dollars a share and they are profitable in this gambling online market we could be in for a humongous movement upwards!

$GMGI gained 898% 🔥ALONE in 2020

Take a look at this company and he will see not only are they growing fast gaining 43% higher revenue growth last quarter, but also profitable for the past 9 Consecutive Quarters!! 

I know the EV sector is hot, but so is the online gambling market $TSLA $NIO $FCEL $PLUG",2021-01-16T17:11:02Z,1281,{'basic': 'Bullish'}
$FCEL look at this! JP downgraded but mentioned this could be 200-400 billion market. just faking people to sell and the banks can load up on cheap shares..,2021-01-16T17:10:50Z,4347,
"$NIO $OSTK $FCEL $PLU $LMND  A quick (but effective) test of dumb money involvement is to say something negative on Stocktwits. If a bunch of longs get very angry, it indicates high involvement from gamblers with zero risk management. Basically following a hopium strategy. This worked very well with $AAPL a few years ago. Remember this guy? Stocktwits really should charge for this excellent indicator.",2021-01-16T17:09:50Z,254,
$FCEL the banks missed its play in fuel cell.. downgrading it and trying to load up.. what a cheap way,2021-01-16T17:09:06Z,4347,{'basic': 'Bullish'}
$FCEL JP Morgan downgrades this stock but in the yahoo news link.. it mentioned fuel cell could be a 200-400billion market by 2030.. it’s just a bear trap.. $PLUG $CLNE,2021-01-16T17:08:05Z,4347,{'basic': 'Bullish'}
$FCEL https://finance.yahoo.com/news/fuelcell-valuation-deserves-haircut-says-211018594.html?soc_src=social-sh&amp;soc_trk=fb&amp;tsrc=fb,2021-01-16T17:06:49Z,4347,{'basic': 'Bullish'}
$FCEL Open Interest increases 36.6% on the week to a percentile rank of 100%. Put OI increased by 38.7% vs Call OI of 35.6%.  P/C Ratio is 0.5 https://tinyurl.com/rhsl8ub,2021-01-16T17:02:57Z,304,
"Called it on $AITX and am calling it on $OZSC now. Check out the DD on the page and check out the below youtube video with some great info as well. This is a great addition to my others greens $PLUG $FCEL and $HYSR. 

https://www.youtube.com/watch?app=desktop&amp;v=lj4MUfRSA1s",2021-01-16T16:59:11Z,969,{'basic': 'Bullish'}
"$FCEL 4 links, read, process, understand, get excited and invest as you decide.  I will be retired wealthy by end of 2021!!!
https://www.google.com/url?sa=t&amp;source=web&amp;rct=j&amp;url=https://www.naturalgasintel.com/exxonmobil-seeking-to-build-263m-carbon-capture-project-at-wyoming-natural-gas-field-2/&amp;ved=2ahUKEwiR_I_i8KDuAhU7ElkFHWzcDMAQFjACegQIDBAB&amp;usg=AOvVaw3QHobdpJHgS4jOaVjnVvPW&amp;cshid=1610814828533

https://www.google.com/url?sa=t&amp;source=web&amp;rct=j&amp;url=https://insideclimatenews.org/news/27092020/exxon-carbon-capture/%3Famp&amp;ved=2ahUKEwiR_I_i8KDuAhU7ElkFHWzcDMAQFjAEegQIERAB&amp;usg=AOvVaw2dmIO75Paa0nDBFYKhWMWY&amp;ampcf=1&amp;cshid=1610814828533

Look at Pg 22+23 working with FuelCell Energy on Carbon Capture.  No mention of any other company for CC!!  Then their logo under &quot;first deployment&quot;, this is 2021 plan!  Then commercialization plan, note &quot;deployment and commercialization plan in 2021.  JDA ends in October and is supposed to culminate in these 2.  
https://www.google.com/url?sa=t&amp;source=web&amp;rct=j&amp;url=https://corporate.exxonmobil.com/-/media/Global/Files/energy-and-carbon-summary/Energy-and-carbon-summary.pdf&amp;ved=2ahUKEwj40ImO8qDuAhXkZd8KHWHxBhAQFjAAegQIDhAC&amp;usg=AOvVaw0LY8hBr1YX0svuSmqJkkps
The writing is in big bold print on the wall!  
https://www.google.com/url?sa=t&amp;source=web&amp;rct=j&amp;url=https://corporate.exxonmobil.com/News/Newsroom/News-releases/2020/1214_ExxonMobil-announces-2025-emissions-reductions_expects-to-meet-2020-plan&amp;ved=2ahUKEwj40ImO8qDuAhXkZd8KHWHxBhAQFjABegQIDhAJ&amp;usg=AOvVaw37bf4haXQQFBd16jgKZ92_&amp;cshid=1610815948405",2021-01-16T16:55:49Z,3834,
$CTRM $SUNW $FCEL $BNGO $PLUG 🎯💨💨💨💨💨💨💨💨💨💨🚀,2021-01-16T16:55:34Z,782,{'basic': 'Bullish'}
"$OSTK  $FCEL  $PLUG  $LMND  $NIO  My drycleaner just borrowed money from her parents and some community members to buy calls in these 5 companies. She doesn&#39;t understand the stock market and asked me if all the gains will be tax free. Also she thinks it is like horse racing because she used to bet on that with her father.

How do you think this story will end? Will she have tons of gains to pay off her loan (return of capital) PLUS buy her 3 drycleaning shops?",2021-01-16T16:54:23Z,253,
