Text,Created,Likes,Sentiment
$M how many of you so called bulls actually shop at Macy’s?,2021-01-16T17:12:52Z,12,{'basic': 'Bearish'}
"$M Not only the future, but they&#39;re going to be bringing back the dividend, I don&#39;t know exactly when. Right now it&#39;s just cash flow and they&#39;re going to come out of this strong in my opinion.",2021-01-16T16:02:59Z,889,{'basic': 'Bullish'}
"$M Are we buying for the future or what happened during the pandemic? Macy&#39;s rolled up their sleeves Bloomingdale&#39;s and all of the subsidiaries are increasing their online sales and stores are opening with a lot of pent-up demand. I&#39;m looking at the future, look at Tesla PE of 1600.",2021-01-16T16:01:11Z,889,{'basic': 'Bullish'}
"@wHbergw @microcapspeculator @Vincentmusk @allsystemsgo 180M a year is a lot in share price! Lets give the taxman some credit of 35%, hauling in net $117M. 
With 20M outstanding shares, that is already 5.85 (EPS) x 20 (PE) = 117 in sp! That is one quick math i use... 
net revenue (in $M) is also the share price :)",2021-01-16T12:55:56Z,6508,{'basic': 'Bullish'}
$M,2021-01-16T05:04:35Z,35,
"(01/15) Department Stores stocks down 3.1% on average(mean) in a day, median return is -4.0%, top movers are $M -6.1% $KSS -4.3% $DDS -3.7% $OLLI 1.7%, the sector return (on average) over last 4 weeks is 25.5%, 
https://marketcomposite.com/topic?name=Department%20Stores",2021-01-16T02:44:16Z,26,
$M let’s see if I learn my lesson while I accumulate 😂,2021-01-16T02:14:48Z,654,
"$M never trust stock ,I short yesterday after market 14.10 ...3k share and I sold 13.16....bc was overbought 60min for 2 days ....thats how u make money....I will day we well see again 12$ this week or lower goodluck everyone",2021-01-16T01:10:47Z,988,
$M goes to show y’all rely way too much on charts! Charts won’t teach you macroeconomics or account for random +\- catalysts. This will head back to the 11 range by February if not earlier and put holders will make a killing 🤷‍♂️,2021-01-15T23:22:04Z,12,{'basic': 'Bearish'}
$M online sales are growing,2021-01-15T23:00:52Z,190,{'basic': 'Bullish'}
$M Makes an Outsized Move -6.1%. The 22-Jan-21 Option Straddle is Implying a ±4.6% Move in the Next 7 days https://tinyurl.com/y4r99nmr,2021-01-15T22:27:23Z,304,
Your daily News digest for Macys $M https://wsfriend.com/daily/news/M/2021-01-15/,2021-01-15T21:33:37Z,94,
$M this is why I called this as pig. Sell this ASAP.,2021-01-15T21:22:06Z,98,
$M what a painful day,2021-01-15T21:07:42Z,3183,
"Large Print $M Size: 249000 Price: 13.01 Time: 1601 Amount: $3,239,490.00",2021-01-15T21:01:53Z,105,
"Huge Print $M Size: 1151369 Price: 13.01 Time: 1600 Amount: $14,979,310.69",2021-01-15T21:00:03Z,105,
$M oh yes buy the dip $16 next week,2021-01-15T20:54:48Z,43,
$M added here,2021-01-15T20:47:26Z,654,
$M someone bought 500 calls,2021-01-15T20:44:01Z,98,
$M you bought high and selling low? Lol,2021-01-15T20:39:36Z,98,
$M  Wow! What an absolute steal at this price. Pick up some cheap shares while you still can!,2021-01-15T20:38:52Z,474,{'basic': 'Bullish'}
$M bbby and GME recovered,2021-01-15T20:31:06Z,98,
$M loaded with calls,2021-01-15T20:29:52Z,98,
$M 15 next week for sure,2021-01-15T20:28:28Z,654,{'basic': 'Bullish'}
$M next week $15,2021-01-15T20:27:56Z,98,
$M buy $13 calls now,2021-01-15T20:24:55Z,98,
$M took my profit from my short cover,2021-01-15T20:24:03Z,98,
$M filled,2021-01-15T20:23:09Z,98,
$M I am covering my 3500 shares now,2021-01-15T20:22:42Z,98,
$M give a short squeeze and get your money back,2021-01-15T20:21:28Z,98,
"$M Entered at 6,5 , sold at 11 two weeks ago selling a bunch of covered calls in between...guess I should have hold it longer :x .",2021-01-14T11:03:37Z,19,
$M $WMT $UVXY $TGT another quick after hours short and cover in $KSS. Re-upping this daily as discussed in the Finom Group trading room,2021-01-14T10:55:02Z,21240,
$FTFT this is gonna be where it’s at $JAGX $M,2021-01-14T08:55:28Z,21,
"$M $TGT 

$TGT is reporting phenomenal holiday sales.  $M is next!

https://www.google.com/amp/s/www.cnbc.com/amp/2021/01/13/target-tgt-holiday-sales-2020-comparable-sales-jump-17percent.html

Time to take a bunch of market share from $AMZN  and $WMT !!! $TGT and $M are back in the mix!!!",2021-01-14T05:52:54Z,6,{'basic': 'Bullish'}
$M See you at $20,2021-01-14T05:26:44Z,891,{'basic': 'Bullish'}
"$M yikes go to www.macys.com huge 40-60% off banner site wife. Folks Dillards, Mervns, Foleys, JcPenneys ..it’s over for Macy’s and malls",2021-01-14T04:54:22Z,31,{'basic': 'Bearish'}
"$M to the moon!!! true American Company. The very first to denounce Trump! 

https://www.google.com/amp/s/fortune.com/2016/11/10/macys-ceo-says-dumping-donald-trumps-line-was-still-the-right-move/amp/",2021-01-14T04:24:28Z,6,{'basic': 'Bullish'}
"SweepCast observed: $M Macy&#39;s Option Alert: Jan, 2022 $10 Calls Sweep 🐂 | Try https://sweepcast.com today! 😎 | #stocks #stockmarket #options #daytrading",2021-01-14T03:40:08Z,85,
$M had approximately 85M USD go to the short side at 46 pct short  Bears and Bulls are fighting close  https://www.algowins.com/?wdt_column_filter[1]=M,2021-01-14T03:11:06Z,37,
"When juxtaposed w/their fundamentals (all declining EPS, Sales, GM% over last 3-7 yrs), potentially scariest 3-mnth charts in the making &amp; speaks to the rampant speculation in markets.  
 
Speculation doesn&#39;t have to be as dangerous and hyperbolic as it sounds, sometimes it breeds opportunity if you can spot the spec. See what I did there ;-) 
 
-Target $TGT worst performer, best fundamentals!  
 
$M $KSS $JWN $SPX",2021-01-13T23:03:33Z,21240,
$M what should we expect tomorrow ?,2021-01-13T22:38:11Z,3762,{'basic': 'Bullish'}
"$M We&#39;ve Got Good News People ☺
Macy’s opens its new concept store in Fort Worth

The first Market by Macy’s opened in Southlake Town Square just before the pandemic began. The Fort Worth store — is the second in the U.S. — opens this Friday.

The retailer said it believes it has built “a scalable business model” from its first Market by Macy’s that opened last February in Southlake Town Square. At that time, Macy’s said it was planning Market by Macy’s stores in Atlanta and Washington, D.C. ",2021-01-13T22:03:06Z,5393,{'basic': 'Bullish'}
$M my orders not filling 🤬,2021-01-13T21:57:08Z,1586,{'basic': 'Bullish'}
$M  Still has some action in her prior to expiration. Monitor closely.,2021-01-13T21:55:24Z,18,{'basic': 'Bullish'}
