Text,Created,Likes,Sentiment
"$SOLO Gains will be crazy here between end of February and mid-Mach. As I said, the chart speaks for itself...",2021-01-16T17:54:26Z,967,{'basic': 'Bullish'}
$SOLO Excited for my test drive of the SOLO in a few weeks. I might even unblock all the Bears so they can read my review. Go SOLO!!!,2021-01-16T17:48:11Z,4859,{'basic': 'Bullish'}
$SOLO holding this one for long..Definitely has potential in the EV market,2021-01-16T17:37:17Z,129,{'basic': 'Bullish'}
"$SOLO has a Current Ratio of 28.52, so it is financially healthy and has no problem in meeting its obligations. https://www.chartmill.com/stock/quote/SOLO/fundamental-analysis?key=66e24629-810e-4c15-b32a-642a937e52a0&amp;utm_source=stocktwits&amp;utm_medium=FA&amp;utm_content=SOLO&amp;utm_campaign=social_tracking",2021-01-16T17:17:00Z,32,
"$SOLO look all the bears on here are just trying to not loose their cheap puts. That’s 💯. Honestly they are all mostly RIGHT in what they say. What they fail to miss is that doesn’t matter. We are here hoping to get a deal on a stock that can potentially, and most likely, climb high in the future. Period. It’s a good buy. Period. Those are the facts. We are here investing in stuff they are selling pre order. So what. When it’s successful it will pay off. Just like their shares. So nows the time to get on board and ride it up. Your welcome to all that big and make money. Sorry to the short sellers loosing on the rise. But he rule number 1. Always follow the trend!! Not to late for you guys to get it on CALLS and me smart. 🤔",2021-01-16T17:12:19Z,117,{'basic': 'Bullish'}
"$SOLO show me a working intermeccanica eroadster electric vehicle, under the bonnet and being showcased as a fully functional working product. Otherwise bearish. Its being listed on the website as a preorder. It must have a working model surely.",2021-01-16T16:21:05Z,557,{'basic': 'Bearish'}
"$SOLO if you look at the manipulative tactics of the bulls here notice 1) they all have accounts made within 30 days 2) never address my concerns or questions in a post 3) resort to kindergarten mockery 4) try to use clown 🤡 symbolism.

All they do is showcase ignorance because in order to suppress the genuine reasoning they want to create a smokescreen diversion tactics. Dont be fooled.",2021-01-16T16:18:03Z,557,{'basic': 'Bearish'}
$SOLO hopefully it will recoup and take off next week.,2021-01-16T15:58:46Z,64,{'basic': 'Bullish'}
$SOLO let’s take his money new account 🤡🤡🤡,2021-01-16T15:25:29Z,2830,{'basic': 'Bullish'}
$SOLO I feel relieved when I sold all my calls and choose to hold shares of SOLO. It’s so stressful when prices are volatile and kill time value,2021-01-16T14:52:06Z,54,
$SOLO back to $8.40 on Tuesday,2021-01-16T14:36:36Z,5,{'basic': 'Bullish'}
"$SOLO SingH bought a lot of cheap puts and he is so worried. you are losing your money on Monday buddy. it doesn’t matter how many wise shit you post, you still a loser.  
het the fuck off this board",2021-01-16T14:29:27Z,28,{'basic': 'Bullish'}
$SOLO @Singh_iz_King do you have any positions in SOLO,2021-01-16T13:17:55Z,11,
What would you do? $SOLO in Uptrend: Stochastic indicator sits in overbought zone for 2 days. View odds for this and other indicators: https://srnk.us/go/2464216,2021-01-16T12:42:45Z,0,
"$SOLO At a time businesses are scaling back due to rising Covid-19 cases, less volume in malls and businesses folding... Electrameccanica decides to open more retail positions. Bizzare strategy? Even more bizarre as there is no stock for immediate dispatch.",2021-01-16T10:24:45Z,557,{'basic': 'Bearish'}
$SOLO Is there any point to have so many retail positions for a product not in stock during a reasonable time? Thank goodness the deposits are refundable.,2021-01-16T10:19:31Z,557,{'basic': 'Bearish'}
"$SOLO Remember December 2020 options expiry,how there was a mysterious bid that pushed price up to 7.50  strike and then immediately withdrawn. Is that even allowed that manipulation?",2021-01-16T08:53:13Z,557,{'basic': 'Bearish'}
"$SOLO Its amazing  that some people  buy the cheap puts then  come on the board to bash the company. Why do you think the puts are so cheap. Because the consensus is this thing&#39;s going to take off soon. I suggest you lead up with those 5 dollar puts, put you entire account into them. ... personally  I have feb $7 calls and March $7 calls.. as well as shares....see you all at 11 dollars soon.",2021-01-16T08:21:25Z,5185,{'basic': 'Bullish'}
