Text,Created,Likes,Sentiment
"SmartOptions® Unusual Activity Alert
(Delayed)

$TSLA $480 Calls
03/19/2021 Exp

Trade Volume: 150 Contracts

$5,805,000 was traded now.

Current Stock Price: $859.44

Trade Type: Split

Follow the Money &amp; Trade Options with Our SmartOptions® Artificial Intelligence.
https://www.smartoptions.ai",2021-01-16T17:55:18Z,150,{'basic': 'Bullish'}
$CLF $X $TSLA $NIO $VALE,2021-01-16T17:55:13Z,805,{'basic': 'Bullish'}
Invest in the brain of the operation $TSLA $SPY,2021-01-16T17:54:06Z,5223,{'basic': 'Bullish'}
"Dow Jones Futures: Biden Stimulus Buzz Wanes For Stock Market Rally, Tesla; What To Do Now
https://faws.com/news/27719832
$TSLA",2021-01-16T17:48:04Z,0,
$TSLA holy shit gevo is gonna fly Tuesday,2021-01-16T17:48:02Z,45,
$AAPL $FB $TSLA weekend chart reviewing .  Post one ticker below and I&#39;ll do an analysis on it. Thanks. Subscribe !,2021-01-16T17:47:01Z,28,
$TSLA..,2021-01-16T17:46:58Z,254,
"$ACTC $cciv $tsla $nkla $ciic
Chief Financial Officer Amy Ard projected 2020 revenues to hover near $200 million.
In addition, Ard said during a call announcing the deal the company expects a compound annual growth rate of 68 percent, from 2020 to 2025. 
“Significant, but, certainly very achievable,” she said.
2025 revenues could top $2.5 billion, assuming 114 percent growth in the powered and energy lines and almost 40 percent growth in the transit lines, according to growth projections filed with the SEC.",2021-01-16T17:46:35Z,2865,{'basic': 'Bullish'}
"$ASTI  
something brewing here!!! 
need to buy more shares. 
$GNUS  $BLSP $TSLA  $CLWD",2021-01-16T17:44:41Z,20,{'basic': 'Bullish'}
@Tkow @Themoneystock I avg up already sold some stuff last week but betting big on $THCB $SBE $TSLA $IPOF so dilemma!,2021-01-16T17:42:23Z,2812,
"$SPY $BABA $BTC.X $TSLA 
Bloomberg Research estimated  the Federal  Reserve Bank of New York&#39;s ownership percentage for several of the most popular ETF&#39;s in the corporate bond sector.  

In this  hypothetical 13-f report, you can see that the New York Fed is listed as the 2nd largest holder of the Vanguard Short-Term Corporate Bond ETF, and top 5 for many other ETF&#39;s in the sector as well.  

Still, when it comes to government managed equities markets, nobody comes close to the Bank of Japan, which has somehow managed to establish an 80% ownership interest in the entire ETF market domiciled in that country!
https://www.zerohedge.com/markets/fed-now-top-5-holder-biggest-corporate-bond-etfs",2021-01-16T17:39:30Z,305,
$TSLA   Lithium prices should go up thanks to Tesla’s giga battery factories   $STLHF    a good play,2021-01-16T17:38:52Z,255,{'basic': 'Bullish'}
"$TSLA 🤑🤑🤑🤑🤑🤑🤑
https://www.tesmanian.com/blogs/tesmanian-blog/tesla-vehicles-with-fsd-may-be-controlled-by-phones-tablets-in-the-future",2021-01-16T17:38:39Z,4855,
$LORL get in line before prime is announced https://stocktwits.com/usp3/message/271226826 $MAXR $AMZN $TSLA $SPCE,2021-01-16T17:38:09Z,926,{'basic': 'Bullish'}
$TSLA https://www.teslarati.com/tesla-model-3-heart-and-lungs-tsla/,2021-01-16T17:37:56Z,4855,
$TSLA https://electrek.co/2021/01/15/ford-delays-hundreds-mustang-mach-e-deliveries-additional-quality-checks/,2021-01-16T17:37:36Z,4855,
$TSLA https://www.tesmanian.com/blogs/tesmanian-blog/tesla-roadrunner-4680-battery-project-model-y-giga-press-speed-ahead,2021-01-16T17:37:10Z,4855,
"$SPY $TSLA  I know MAGA is a collection of angry dumbasses, but come on.....",2021-01-16T17:37:01Z,254,
$TSLA https://www.tesmanian.com/blogs/tesmanian-blog/army-of-tesla-model-y-showup-in-giga-shnaghai-getting-ready-for-delivery-3-for-export,2021-01-16T17:36:53Z,4855,
